experiment,condition,topology,n_episodes,n_tasks,task_success,task_success_ci_low,task_success_ci_high,epr,epr_ci_low,epr_ci_high,daf,daf_ci_low,daf_ci_high,work_units,work_units_ci_low,work_units_ci_high,latency_ms,latency_ms_ci_low,latency_ms_ci_high,recovered,recovered_ci_low,recovered_ci_high
E4_verification_ablation,verify=local;recovery=retry,single,120,60,0.9666666666666667,0.9333333333333333,0.9916666666666667,0.05,0.02222222222222222,0.08055555555555555,0.016666666666666666,0.0,0.041666666666666664,5.923749999999999,5.861499999999999,5.988006249999999,57.36355041046717,56.36005497794762,58.34228911588682,0.9166666666666666,0.8666666666666667,0.9583333333333334
E4_verification_ablation,verify=none;recovery=none,hierarchical,120,60,0.075,0.025,0.125,0.9,0.8416666666666667,0.95,0.8916666666666667,0.8333333333333334,0.9416666666666667,8.44,8.416,8.464,38.23054763816453,37.63891810884266,38.843579740067376,0.0,0.0,0.0
E4_verification_ablation,verify=none;recovery=none,parallel,120,60,0.08333333333333333,0.041666666666666664,0.13333333333333333,0.9,0.85,0.95,0.9,0.85,0.95,6.2,6.175999999999999,6.223999999999999,25.896698955292027,25.40274448559505,26.391535767102166,0.0,0.0,0.0
E4_verification_ablation,verify=none;recovery=none,sequential,120,60,0.058333333333333334,0.016666666666666666,0.10833333333333334,0.9388888888888889,0.8888888888888888,0.9805555555555555,0.9333333333333333,0.8833333333333333,0.975,5.079999999999999,5.055999999999998,5.103999999999998,47.05040177857873,46.298161476311115,47.88101368641969,0.0,0.0,0.0
E4_verification_ablation,verify=none;recovery=none,single,120,60,0.06666666666666667,0.025,0.11666666666666667,0.9305555555555556,0.8777777777777778,0.975,0.925,0.875,0.9666666666666667,5.079999999999999,5.055999999999998,5.103999999999998,46.75003385427003,46.122590595958776,47.39734906225551,0.0,0.0,0.0
E5_recovery,recovery=isolate,hierarchical,120,60,0.8166666666666667,0.75,0.8833333333333333,0.175,0.10833333333333334,0.24166666666666667,0.175,0.10833333333333334,0.24166666666666667,9.03625,8.972499999999998,9.1050125,43.5548288981381,42.79328700109751,44.30969881214596,0.7083333333333334,0.6333333333333333,0.7833333333333333
E5_recovery,recovery=isolate,parallel,120,60,0.8583333333333333,0.7916666666666666,0.9166666666666666,0.10833333333333334,0.05,0.16666666666666666,0.10833333333333334,0.05,0.16666666666666666,6.7437499999999995,6.6819875,6.801262499999998,30.356463628904795,29.55604583105401,31.218059015050297,0.7916666666666666,0.7166666666666667,0.8666666666666667
E5_recovery,recovery=isolate,sequential,120,60,0.8,0.725,0.875,0.15833333333333333,0.09166666666666666,0.225,0.15833333333333333,0.09166666666666666,0.23333333333333334,5.62375,5.56348125,5.684525000000001,53.70418322520292,52.59949963552264,54.81191055702676,0.6916666666666667,0.6083333333333333,0.775
E5_recovery,recovery=isolate,single,120,60,0.8666666666666667,0.8,0.925,0.13333333333333333,0.075,0.2,0.13333333333333333,0.075,0.19166666666666668,5.586250000000001,5.536743749999999,5.634256249999999,53.348842313037125,52.4104002612446,54.29954425372747,0.7916666666666666,0.725,0.8583333333333333
E5_recovery,recovery=none,hierarchical,120,60,0.075,0.03333333333333333,0.125,0.8833333333333333,0.825,0.9416666666666667,0.8833333333333333,0.825,0.9333333333333333,8.44,8.416,8.464,38.36985607277374,37.82972684648111,38.895009230277736,0.0,0.0,0.0
E5_recovery,recovery=none,parallel,120,60,0.10833333333333334,0.058333333333333334,0.175,0.875,0.8166666666666667,0.9333333333333333,0.875,0.8166666666666667,0.9333333333333333,6.2,6.175999999999999,6.223999999999999,25.918672636086317,25.431553256816322,26.390838809865873,0.0,0.0,0.0
E5_recovery,recovery=none,sequential,120,60,0.13333333333333333,0.075,0.2,0.8583333333333333,0.7916666666666666,0.9166666666666666,0.8583333333333333,0.7997916666666667,0.9166666666666666,5.079999999999999,5.055999999999998,5.103999999999998,47.456251403697436,46.64473972663697,48.282901197330354,0.0,0.0,0.0
E5_recovery,recovery=none,single,120,60,0.11666666666666667,0.058333333333333334,0.18333333333333332,0.8833333333333333,0.8166666666666667,0.9416666666666667,0.8833333333333333,0.8166666666666667,0.9416666666666667,5.079999999999999,5.055999999999998,5.103999999999998,47.15050308232776,46.4877358792154,47.85582598102025,0.0,0.0,0.0
E5_recovery,recovery=redundant,hierarchical,120,60,0.9416666666666667,0.9,0.975,0.05,0.016666666666666666,0.09166666666666666,0.05,0.016666666666666666,0.09166666666666666,10.546666666666665,10.363983333333334,10.743333333333334,58.75630424547886,56.73597564376989,60.74648742968879,0.8916666666666667,0.8416666666666667,0.9416666666666667
E5_recovery,recovery=redundant,parallel,120,60,0.975,0.9416666666666667,1.0,0.016666666666666666,0.0,0.041666666666666664,0.016666666666666666,0.0,0.041666666666666664,8.093333333333334,7.931333333333334,8.254,44.11825463622795,42.50482358104607,45.88374513389805,0.9166666666666666,0.8666666666666667,0.9583333333333334
E5_recovery,recovery=redundant,sequential,120,60,0.9416666666666667,0.8916666666666667,0.9833333333333333,0.041666666666666664,0.008333333333333333,0.09166666666666666,0.041666666666666664,0.008333333333333333,0.08333333333333333,6.7733333333333325,6.619933333333334,6.932033333333335,67.17449493053819,65.0819249111267,69.4295230528851,0.875,0.8083333333333333,0.9333333333333333
E5_recovery,recovery=redundant,single,120,60,0.95,0.9083333333333333,0.9833333333333333,0.03333333333333333,0.008333333333333333,0.06666666666666667,0.03333333333333333,0.008333333333333333,0.06666666666666667,6.760000000000001,6.628666666666667,6.8953500000000005,67.43170272440184,65.6327185216997,69.36221420694396,0.8833333333333333,0.8247916666666666,0.9333333333333333
E5_recovery,recovery=retry,hierarchical,120,60,0.9583333333333334,0.925,0.9916666666666667,0.041666666666666664,0.008333333333333333,0.08333333333333333,0.041666666666666664,0.008333333333333333,0.08333333333333333,9.4275,9.327481249999998,9.533518750000004,47.40448781287615,46.20942148400123,48.65023913091617,0.8916666666666667,0.8416666666666667,0.9416666666666667
E5_recovery,recovery=retry,parallel,120,60,0.9,0.8416666666666667,0.95,0.09166666666666666,0.041666666666666664,0.15,0.09166666666666666,0.041666666666666664,0.15,7.05625,6.962993749999999,7.1525,33.41319230361277,32.467360080872325,34.35862304781008,0.8416666666666667,0.775,0.9
E5_recovery,recovery=retry,sequential,120,60,0.8666666666666667,0.8,0.925,0.13333333333333333,0.075,0.2,0.13333333333333333,0.075,0.2,5.867499999999999,5.802737499999998,5.9317562499999985,56.0864597840145,54.964740933816614,57.32934614708008,0.825,0.7583333333333333,0.8916666666666667
E5_recovery,recovery=retry,single,120,60,0.9166666666666666,0.8666666666666667,0.9583333333333334,0.08333333333333333,0.041666666666666664,0.13333333333333333,0.08333333333333333,0.041666666666666664,0.13333333333333333,5.836249999999999,5.7639999999999985,5.90900625,55.848877079555756,54.45353619872396,57.25534417085261,0.8416666666666667,0.775,0.9083333333333333
