topology,fault_type,fault_severity,fault_position,n_episodes,n_tasks,task_success,task_success_ci_low,task_success_ci_high,epr,epr_ci_low,epr_ci_high,daf,daf_ci_low,daf_ci_high,amplification,amplification_ci_low,amplification_ci_high,propagation_depth,propagation_depth_ci_low,propagation_depth_ci_high,work_units,work_units_ci_low,work_units_ci_high
parallel,timeout,1.0,late,116,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.198965517241382,6.175999999999999,6.223999999999999
parallel,timeout,1.0,middle,115,59,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.198956521739133,6.173559322033897,6.224406779661016
parallel,timeout,2.0,early,114,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.201052631578949,6.175999999999999,6.223999999999999
parallel,timeout,2.0,late,114,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.198947368421054,6.175999999999999,6.223999999999999
parallel,timeout,2.0,middle,114,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.196842105263159,6.175999999999999,6.223999999999999
parallel,truncation,1.0,early,113,59,0.008849557522123894,0.0,0.025423728813559324,0.9911504424778761,0.9745762711864406,1.0,0.9911504424778761,0.9745762711864406,1.0,0.9911504424778761,0.9745762711864406,1.0,0.9911504424778761,0.9745762711864406,1.0,6.200000000000001,6.177627118644067,6.226440677966101
parallel,truncation,1.0,late,112,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.201071428571429,6.175999999999999,6.223999999999999
parallel,truncation,1.0,middle,112,59,0.0625,0.01694915254237288,0.15254237288135594,0.9375,0.847457627118644,0.9830508474576272,0.9375,0.847457627118644,0.9830508474576272,0.9375,0.8559322033898306,0.9830508474576272,0.9375,0.847457627118644,0.9830508474576272,6.202142857142858,6.175593220338983,6.224406779661017
parallel,truncation,2.0,early,117,60,0.008547008547008548,0.0,0.025,0.9914529914529915,0.975,1.0,0.9914529914529915,0.975,1.0,0.9914529914529915,0.975,1.0,0.9914529914529915,0.975,1.0,6.197948717948719,6.175999999999999,6.224
parallel,truncation,2.0,late,110,59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.20436363636364,6.177627118644067,6.226440677966101
parallel,truncation,2.0,middle,116,60,0.06896551724137931,0.016666666666666666,0.13333333333333333,0.9310344827586207,0.8666666666666667,0.9833333333333333,0.9310344827586207,0.8666666666666667,0.9833333333333333,0.9310344827586207,0.8666666666666667,0.9833333333333333,0.9310344827586207,0.8666666666666667,0.9833333333333333,6.202068965517244,6.175999999999999,6.223999999999999
parallel,wrong_value,1.0,early,114,59,0.043859649122807015,0.00847457627118644,0.1016949152542373,0.956140350877193,0.8983050847457628,0.9915254237288136,0.956140350877193,0.8983050847457628,0.9915254237288136,0.956140350877193,0.8983050847457628,0.9915254237288136,0.956140350877193,0.8983050847457628,0.9915254237288136,6.202105263157897,6.173559322033897,6.222372881355932
parallel,wrong_value,1.0,late,112,58,0.044642857142857144,0.008620689655172414,0.08620689655172414,0.0,0.0,0.0,0.9553571428571429,0.922198275862069,0.9913793103448276,0.0,0.0,0.0,0.0,0.0,0.0,6.2042857142857155,6.1772413793103444,6.228965517241379
parallel,wrong_value,1.0,middle,116,60,0.0603448275862069,0.025,0.1,0.9396551724137931,0.9,0.9833333333333333,0.9396551724137931,0.9,0.975,0.9396551724137931,0.9,0.975,0.9396551724137931,0.9,0.975,6.197931034482761,6.175999999999999,6.223999999999999
parallel,wrong_value,2.0,early,112,60,0.008928571428571428,0.0,0.025,0.9910714285714286,0.975,1.0,0.9910714285714286,0.975,1.0,0.9910714285714286,0.975,1.0,0.9910714285714286,0.975,1.0,6.20107142857143,6.175999999999999,6.223999999999999
parallel,wrong_value,2.0,late,115,60,0.008695652173913044,0.0,0.025,0.0,0.0,0.0,0.991304347826087,0.975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.201043478260871,6.175949999999999,6.225999999999999
parallel,wrong_value,2.0,middle,117,60,0.017094017094017096,0.0,0.041666666666666664,0.9829059829059829,0.9583333333333334,1.0,0.9829059829059829,0.9583333333333334,1.0,0.9829059829059829,0.9583333333333334,1.0,0.9829059829059829,0.9583333333333334,1.0,6.201025641025644,6.175999999999999,6.224
sequential,referential_drift,1.0,early,117,59,0.05982905982905983,0.01694915254237288,0.1019067796610158,0.9230769230769231,0.8700564971751411,0.9717514124293785,0.9145299145299145,0.8559322033898306,0.9661016949152542,2.769230769230769,2.6016949152542375,2.906779661016949,2.769230769230769,2.610169491525424,2.906779661016949,5.080000000000002,5.053559322033898,5.1064406779661
sequential,referential_drift,1.0,late,112,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.083214285714286,5.055999999999998,5.103999999999998
sequential,referential_drift,1.0,middle,115,60,0.043478260869565216,0.008333333333333333,0.1,0.9565217391304348,0.9,0.9833333333333333,0.9565217391304348,0.9,0.9916666666666667,0.9565217391304348,0.9,0.9916666666666667,0.9565217391304348,0.9,0.9916666666666667,5.078956521739132,5.055949999999998,5.105999999999998
sequential,referential_drift,2.0,early,109,60,0.10091743119266056,0.041666666666666664,0.16666666666666666,0.908256880733945,0.8472222222222221,0.961111111111111,0.8990825688073395,0.8333333333333334,0.9583333333333334,2.7247706422018347,2.5416666666666665,2.875,2.7247706422018347,2.533333333333333,2.8833333333333333,5.077798165137617,5.053999999999999,5.103999999999999
sequential,referential_drift,2.0,late,117,60,0.05128205128205128,0.016666666666666666,0.09166666666666666,0.0,0.0,0.0,0.9487179487179487,0.9083333333333333,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.081025641025643,5.055999999999998,5.103999999999999
sequential,referential_drift,2.0,middle,110,60,0.07272727272727272,0.03333333333333333,0.1252083333333322,0.9272727272727272,0.8666666666666667,0.9666666666666667,0.9272727272727272,0.875,0.975,0.9272727272727272,0.8666666666666667,0.9666666666666667,0.9272727272727272,0.8666666666666667,0.9666666666666667,5.078909090909094,5.055999999999998,5.105999999999998
sequential,timeout,1.0,early,116,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.078965517241381,5.055999999999998,5.103999999999999
sequential,timeout,1.0,late,117,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07794871794872,5.055999999999998,5.103999999999999
sequential,timeout,1.0,middle,115,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.076869565217392,5.055949999999998,5.105999999999998
sequential,timeout,2.0,early,111,59,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.086486486486489,5.055593220338982,5.104406779661017
sequential,timeout,2.0,late,114,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.080000000000001,5.055999999999998,5.103999999999998
sequential,timeout,2.0,middle,114,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.078947368421054,5.055999999999998,5.103999999999998
sequential,truncation,1.0,early,118,60,0.01694915254237288,0.0,0.05,0.9830508474576272,0.95,1.0,0.9830508474576272,0.95,1.0,2.9491525423728815,2.85,3.0,2.9491525423728815,2.85,3.0,5.07898305084746,5.055999999999998,5.105999999999998
sequential,truncation,1.0,late,110,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.077818181818183,5.055999999999998,5.105999999999998
sequential,truncation,1.0,middle,115,60,0.017391304347826087,0.0,0.05,0.9826086956521739,0.95,1.0,0.9826086956521739,0.95,1.0,0.9826086956521739,0.95,1.0,0.9826086956521739,0.95,1.0,5.078956521739132,5.055949999999998,5.105999999999998
sequential,truncation,2.0,early,118,60,0.01694915254237288,0.0,0.05,0.9943502824858758,0.9833333333333332,1.0,0.9830508474576272,0.95,1.0,2.983050847457627,2.95,3.0,2.983050847457627,2.95,3.0,5.082033898305087,5.055999999999998,5.105999999999998
sequential,truncation,2.0,late,114,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.078947368421054,5.055999999999998,5.103999999999998
sequential,truncation,2.0,middle,117,60,0.017094017094017096,0.0,0.05,0.9829059829059829,0.95,1.0,0.9829059829059829,0.95,1.0,0.9829059829059829,0.95,1.0,0.9829059829059829,0.95,1.0,5.081025641025643,5.055999999999998,5.103999999999999
sequential,wrong_value,1.0,early,115,59,0.06086956521739131,0.025423728813559324,0.11864406779661017,0.9420289855072465,0.8926553672316384,0.9717514124293785,0.9304347826086956,0.864406779661017,0.9663135593220327,2.8260869565217392,2.6864406779661016,2.9237288135593222,2.8260869565217392,2.669491525423729,2.9237288135593222,5.0779130434782624,5.055593220338982,5.1064406779661
sequential,wrong_value,1.0,late,113,60,0.061946902654867256,0.016666666666666666,0.1,0.0,0.0,0.0,0.9380530973451328,0.8916666666666667,0.975,0.0,0.0,0.0,0.0,0.0,0.0,5.077876106194691,5.055999999999998,5.105999999999998
sequential,wrong_value,1.0,middle,109,60,0.045871559633027525,0.008333333333333333,0.075,0.9541284403669725,0.9247916666666667,0.9916666666666667,0.9541284403669725,0.9166666666666666,0.9916666666666667,0.9541284403669725,0.925,0.9916666666666667,0.9541284403669725,0.9166666666666666,0.9916666666666667,5.080000000000001,5.053999999999999,5.103999999999999
sequential,wrong_value,2.0,early,113,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.080000000000001,5.055999999999998,5.105999999999998
sequential,wrong_value,2.0,late,111,60,0.018018018018018018,0.0,0.041666666666666664,0.0,0.0,0.0,0.9819819819819819,0.9583333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081081081081083,5.055999999999998,5.103999999999998
sequential,wrong_value,2.0,middle,111,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.080000000000003,5.055999999999998,5.103999999999998
single,referential_drift,1.0,early,113,60,0.08849557522123894,0.03333333333333333,0.15833333333333333,0.9144542772861358,0.8527777777777777,0.9611111111111111,0.8938053097345132,0.825,0.95,2.743362831858407,2.5416666666666665,2.875,2.743362831858407,2.558333333333333,2.8833333333333333,5.082123893805311,5.055999999999998,5.105999999999998
single,referential_drift,1.0,late,112,59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,5.055593220338982,5.104406779661017
single,referential_drift,1.0,middle,116,60,0.02586206896551724,0.0,0.06666666666666667,0.9741379310344828,0.9333333333333333,1.0,0.9741379310344828,0.9333333333333333,1.0,0.9741379310344828,0.9333333333333333,1.0,0.9741379310344828,0.9333333333333333,1.0,5.080000000000002,5.055999999999998,5.103999999999999
single,referential_drift,2.0,early,114,59,0.07017543859649122,0.01694915254237288,0.1271186440677966,0.9239766081871346,0.867231638418079,0.9774011299435028,0.9210526315789473,0.8559322033898306,0.9745762711864406,2.7719298245614037,2.6016949152542375,2.9322033898305087,2.7719298245614037,2.6016949152542375,2.9237288135593222,5.083157894736844,5.057627118644066,5.106491525423728
single,referential_drift,2.0,late,115,60,0.0782608695652174,0.025,0.13333333333333333,0.0,0.0,0.0,0.9217391304347826,0.8583333333333333,0.975,0.0,0.0,0.0,0.0,0.0,0.0,5.076869565217392,5.055949999999998,5.105999999999998
single,referential_drift,2.0,middle,117,60,0.07692307692307693,0.03333333333333333,0.15,0.9145299145299145,0.8416666666666667,0.9666666666666667,0.9145299145299145,0.8416666666666667,0.9666666666666667,0.9145299145299145,0.8416666666666667,0.9666666666666667,0.9145299145299145,0.8416666666666667,0.9666666666666667,5.082051282051284,5.055999999999998,5.103999999999999
single,timeout,1.0,early,113,59,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.080000000000001,5.053559322033898,5.104406779661017
single,timeout,1.0,late,116,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0820689655172435,5.055999999999998,5.103999999999999
single,timeout,1.0,middle,115,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.078956521739132,5.055949999999998,5.105999999999998
single,timeout,2.0,early,116,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.081034482758622,5.055999999999998,5.103999999999999
single,timeout,2.0,late,115,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081043478260871,5.055949999999998,5.105999999999998
single,timeout,2.0,middle,114,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.078947368421054,5.055999999999998,5.103999999999998
single,truncation,1.0,early,110,60,0.01818181818181818,0.0,0.05,0.9818181818181818,0.95,1.0,0.9818181818181818,0.95,1.0,2.9454545454545453,2.85,3.0,2.9454545454545453,2.85,3.0,5.078909090909094,5.055999999999998,5.105999999999998
single,truncation,1.0,late,115,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.078956521739132,5.055949999999998,5.105999999999998
single,truncation,1.0,middle,116,59,0.017241379310344827,0.0,0.05084745762711865,0.9827586206896551,0.9491525423728814,1.0,0.9827586206896551,0.9491525423728814,1.0,0.9827586206896551,0.9491525423728814,1.0,0.9827586206896551,0.9491525423728814,1.0,5.078965517241381,5.053559322033897,5.102372881355931
single,truncation,2.0,early,110,58,0.00909090909090909,0.0,0.02586206896551724,0.9969696969696971,0.9913793103448276,1.0,0.990909090909091,0.9741379310344828,1.0,2.9909090909090907,2.9741379310344827,3.0,2.9909090909090907,2.9741379310344827,3.0,5.0767272727272745,5.055172413793103,5.1068965517241365
single,truncation,2.0,late,113,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.080000000000001,5.055999999999998,5.105999999999998
single,truncation,2.0,middle,116,60,0.017241379310344827,0.0,0.05,0.9827586206896551,0.95,1.0,0.9827586206896551,0.95,1.0,0.9827586206896551,0.95,1.0,0.9827586206896551,0.95,1.0,5.081034482758622,5.055999999999998,5.103999999999999
single,wrong_value,1.0,early,112,60,0.0625,0.025,0.11666666666666667,0.9434523809523808,0.8888888888888888,0.9805555555555555,0.9375,0.8833333333333333,0.975,2.830357142857143,2.658125,2.941666666666667,2.830357142857143,2.6664583333333334,2.941666666666667,5.081071428571429,5.055999999999998,5.103999999999998
single,wrong_value,1.0,late,112,60,0.03571428571428571,0.008333333333333333,0.08333333333333333,0.0,0.0,0.0,0.9642857142857143,0.9083333333333333,0.9916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,5.0789285714285715,5.055999999999998,5.103999999999998
single,wrong_value,1.0,middle,113,60,0.061946902654867256,0.025,0.11666666666666667,0.9380530973451328,0.8833333333333333,0.975,0.9380530973451328,0.8833333333333333,0.975,0.9380530973451328,0.8833333333333333,0.975,0.9380530973451328,0.8833333333333333,0.975,5.080000000000001,5.055999999999998,5.105999999999998
single,wrong_value,2.0,early,115,60,0.008695652173913044,0.0,0.025,0.9942028985507246,0.9833333333333332,1.0,0.991304347826087,0.975,1.0,2.982608695652174,2.95,3.0,2.982608695652174,2.95,3.0,5.080000000000001,5.055949999999998,5.105999999999998
single,wrong_value,2.0,late,117,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.082051282051284,5.055999999999998,5.103999999999999
single,wrong_value,2.0,middle,114,60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.076842105263159,5.055999999999998,5.103999999999998
